Action,Command
light off,Light deactivate
light off,Turn out the lights
light off,Put the light to sleep
light off,Power down the light
light off,Disable the light
light off,Lights out
light off,Please turn off the light
light off,Switch light to off
light off,Turn the light off
light off,Light off
light off,Darken the room
light off,Shut off the lights
light off,End the lighting
light off,Trigger light off
light off,Lighting stop
light off,Bring light to off state
light off,Lights power off
light off,Close the light
light off,Dim the light
light off,Make the light inactive
light off,Put off the light
light off,Close down the light
light off,Light stop
light off,Stop lighting
light off,Turn off the light
light off,"Light off, please"
light off,Switch off the light
light off,Power down the light
light off,Deactivate the light
light off,Could you turn off the light?
light on,Illuminate
light on,Power on the light
light on,Switch on the light
light on,Start lighting
light on,Light activate
light on,Turn on the light
light on,Illuminate the area
light on,Please turn on the light
light on,Commence lighting
light on,Activate the light
light on,Turn the light on
light on,Make the light active
light on,Light up the room
light on,Open the light
light on,Switch light to on
light on,Enable the light
light on,Brighten up the space
light on,Bring light to on state
light on,Light start
light on,Could you turn on the light?
light on,Lights power on
light on,Illuminate the room
light on,Lighting start
light on,Start up the light
light on,Light on
light on,Trigger light on
light on,Wake up the light
light on,Power up the light
light on,"Light on, please"
light on,Put on the light
tv off,Power down the television
tv off,Close down the TV
tv off,Television stop
tv off,Trigger TV off
tv off,Close the TV
tv off,Bring TV to off state
tv off,Shut the TV
tv off,End the television
tv off,Deactivate the TV
tv off,Television power off
tv off,Television halt
tv off,Could you turn off the TV?
tv off,Put the TV to sleep
tv off,Put off the TV
tv off,Power down the television
tv off,Television off
tv off,Disable the TV
tv off,"TV off, please"
tv off,Shut down the TV
tv off,Make the TV inactive
tv off,Please turn off the TV
tv off,Stop the TV
tv off,Stop television
tv off,TV deactivate
tv off,Switch TV to off
tv off,Turn the TV off
tv off,TV stop
tv off,Switch off the TV
tv off,Turn off the TV
tv off,Shutdown the TV
tv on,Put on the TV
tv on,Open the TV
tv on,Make the TV active
tv on,Power on the television
tv on,Television initiate
tv on,Start television
tv on,TV start
tv on,Switch on the TV
tv on,Bring TV to on state
tv on,Run the TV
tv on,Initiate the TV
tv on,Could you turn on the TV?
tv on,Wake up the TV
tv on,Power up the television
tv on,Enable the TV
tv on,Fire up the TV
tv on,"TV on, please"
tv on,Please turn on the TV
tv on,TV activate
tv on,Switch TV to on
tv on,Turn the TV on
tv on,Television on
tv on,Boot up the TV
tv on,Commence the TV
tv on,Start up the television
tv on,Trigger TV on
tv on,Activate the TV
tv on,Television start
tv on,Television power on
tv on,Turn on the TV
